ganloss 0 tf.Tensor(-0.57283163, shape=(), dtype=float32)
ganloss 1 tf.Tensor(-0.57267964, shape=(), dtype=float32)
ganloss 2 tf.Tensor(-0.57273555, shape=(), dtype=float32)
ganloss 3 tf.Tensor(-0.572406, shape=(), dtype=float32)
ganloss 4 tf.Tensor(-0.5728084, shape=(), dtype=float32)
ganloss 5 tf.Tensor(-0.5730993, shape=(), dtype=float32)
ganloss 6 tf.Tensor(-0.5736752, shape=(), dtype=float32)
ganloss 7 tf.Tensor(-0.5744649, shape=(), dtype=float32)
ganloss 8 tf.Tensor(-0.57601774, shape=(), dtype=float32)
ganloss 9 tf.Tensor(-0.57737696, shape=(), dtype=float32)
ganloss 10 tf.Tensor(-0.57908744, shape=(), dtype=float32)
ganloss 11 tf.Tensor(-0.5819189, shape=(), dtype=float32)
ganloss 12 tf.Tensor(-0.58471924, shape=(), dtype=float32)
ganloss 13 tf.Tensor(-0.58877724, shape=(), dtype=float32)
ganloss 14 tf.Tensor(-0.590515, shape=(), dtype=float32)
ganloss 15 tf.Tensor(-0.5959279, shape=(), dtype=float32)
ganloss 16 tf.Tensor(-0.5993129, shape=(), dtype=float32)
ganloss 17 tf.Tensor(-0.60174674, shape=(), dtype=float32)
ganloss 18 tf.Tensor(-0.6024837, shape=(), dtype=float32)
ganloss 19 tf.Tensor(-0.60456353, shape=(), dtype=float32)
ganloss 20 tf.Tensor(-0.6052243, shape=(), dtype=float32)
ganloss 21 tf.Tensor(-0.6050898, shape=(), dtype=float32)
ganloss 22 tf.Tensor(-0.6050361, shape=(), dtype=float32)
ganloss 23 tf.Tensor(-0.6050164, shape=(), dtype=float32)
ganloss 24 tf.Tensor(-0.60436106, shape=(), dtype=float32)
ganloss 25 tf.Tensor(-0.603633, shape=(), dtype=float32)
ganloss 26 tf.Tensor(-0.6026552, shape=(), dtype=float32)
ganloss 27 tf.Tensor(-0.6027532, shape=(), dtype=float32)
ganloss 28 tf.Tensor(-0.60230666, shape=(), dtype=float32)
ganloss 29 tf.Tensor(-0.60179836, shape=(), dtype=float32)
ganloss 30 tf.Tensor(-0.602868, shape=(), dtype=float32)
ganloss 31 tf.Tensor(-0.60327196, shape=(), dtype=float32)
ganloss 32 tf.Tensor(-0.6055143, shape=(), dtype=float32)
ganloss 33 tf.Tensor(-0.60575426, shape=(), dtype=float32)
ganloss 34 tf.Tensor(-0.6070962, shape=(), dtype=float32)
ganloss 35 tf.Tensor(-0.60903543, shape=(), dtype=float32)
ganloss 36 tf.Tensor(-0.60999507, shape=(), dtype=float32)
ganloss 37 tf.Tensor(-0.61217105, shape=(), dtype=float32)
ganloss 38 tf.Tensor(-0.6145668, shape=(), dtype=float32)
ganloss 39 tf.Tensor(-0.6186538, shape=(), dtype=float32)
ganloss 40 tf.Tensor(-0.62106645, shape=(), dtype=float32)
ganloss 41 tf.Tensor(-0.6245209, shape=(), dtype=float32)
ganloss 42 tf.Tensor(-0.62629277, shape=(), dtype=float32)
ganloss 43 tf.Tensor(-0.6266166, shape=(), dtype=float32)
ganloss 44 tf.Tensor(-0.6269558, shape=(), dtype=float32)
ganloss 45 tf.Tensor(-0.6254506, shape=(), dtype=float32)
ganloss 46 tf.Tensor(-0.6226592, shape=(), dtype=float32)
ganloss 47 tf.Tensor(-0.6196138, shape=(), dtype=float32)
ganloss 48 tf.Tensor(-0.6165374, shape=(), dtype=float32)
ganloss 49 tf.Tensor(-0.6127483, shape=(), dtype=float32)
ganloss 50 tf.Tensor(-0.610017, shape=(), dtype=float32)
ganloss 51 tf.Tensor(-0.60693675, shape=(), dtype=float32)
ganloss 52 tf.Tensor(-0.60351145, shape=(), dtype=float32)
ganloss 53 tf.Tensor(-0.59997845, shape=(), dtype=float32)
