,pokedex_no,pokemon_name,pokemon_type,info,abilities,base_status,weakness_types,height(m),weight(kg)
0,001,Bulbasaur,"['Grass', 'Poison']",Seed Pokémon,"['Overgrow', 'Chlorophyll']",318,"['Fire', 'Ice', 'Flying', 'Psychic']",0.7,6.9
1,002,Ivysaur,"['Grass', 'Poison']",Seed Pokémon,"['Overgrow', 'Chlorophyll']",405,"['Fire', 'Ice', 'Flying', 'Psychic']",1.0,13.0
2,003,Venusaur,"['Grass', 'Poison']",Seed Pokémon,"['Overgrow', 'Chlorophyll']",525,"['Fire', 'Ice', 'Flying', 'Psychic']",2.0,100.0
3,004,Charmander,['Fire'],Lizard Pokémon,"['Blaze', 'Solar Power']",309,"['Water', 'Ground', 'Rock']",0.6,8.5
4,005,Charmeleon,['Fire'],Flame Pokémon,"['Blaze', 'Solar Power']",405,"['Water', 'Ground', 'Rock']",1.1,19.0
5,006,Charizard,"['Fire', 'Flying']",Flame Pokémon,"['Blaze', 'Solar Power']",534,"['Water', 'Electric', 'Rock']",1.7,90.5
6,007,Squirtle,['Water'],Tiny Turtle Pokémon,"['Torrent', 'Rain Dish']",314,"['Grass', 'Electric']",0.5,9.0
7,008,Wartortle,['Water'],Turtle Pokémon,"['Torrent', 'Rain Dish']",405,"['Grass', 'Electric']",1.0,22.5
8,009,Blastoise,['Water'],Shellfish Pokémon,"['Torrent', 'Rain Dish']",530,"['Grass', 'Electric']",1.6,85.5
9,010,Caterpie,['Bug'],Worm Pokémon,"['Shield Dust', 'Run Away']",195,"['Fire', 'Flying', 'Rock']",0.3,2.9
10,011,Metapod,['Bug'],Cocoon Pokémon,['Shed Skin'],205,"['Fire', 'Flying', 'Rock']",0.7,9.9
11,012,Butterfree,"['Bug', 'Flying']",Butterfly Pokémon,"['Compound Eyes', 'Tinted Lens']",395,"['Fire', 'Electric', 'Ice', 'Flying', 'Rock']",1.1,32.0
12,013,Weedle,"['Bug', 'Poison']",Hairy Bug Pokémon,"['Shield Dust', 'Run Away']",195,"['Fire', 'Flying', 'Psychic', 'Rock']",0.3,3.2
13,014,Kakuna,"['Bug', 'Poison']",Cocoon Pokémon,['Shed Skin'],205,"['Fire', 'Flying', 'Psychic', 'Rock']",0.6,10.0
14,015,Beedrill,"['Bug', 'Poison']",Poison Bee Pokémon,"['Swarm', 'Sniper']",395,"['Fire', 'Flying', 'Psychic', 'Rock']",1.0,29.5
15,016,Pidgey,"['Normal', 'Flying']",Tiny Bird Pokémon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",251,"['Electric', 'Ice', 'Rock']",0.3,1.8
16,017,Pidgeotto,"['Normal', 'Flying']",Bird Pokémon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",349,"['Electric', 'Ice', 'Rock']",1.1,30.0
17,018,Pidgeot,"['Normal', 'Flying']",Bird Pokémon,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",479,"['Electric', 'Ice', 'Rock']",1.5,39.5
18,019,Rattata,['Normal'],Mouse Pokémon,"['Run Away', 'Guts', 'Hustle']",253,['Fighting'],0.3,3.5
19,020,Raticate,['Normal'],Mouse Pokémon,"['Run Away', 'Guts', 'Hustle']",413,['Fighting'],0.7,18.5
20,021,Spearow,"['Normal', 'Flying']",Tiny Bird Pokémon,"['Keen Eye', 'Sniper']",262,"['Electric', 'Ice', 'Rock']",0.3,2.0
21,022,Fearow,"['Normal', 'Flying']",Beak Pokémon,"['Keen Eye', 'Sniper']",442,"['Electric', 'Ice', 'Rock']",1.2,38.0
22,023,Ekans,['Poison'],Snake Pokémon,"['Intimidate', 'Shed Skin', 'Unnerve']",288,"['Ground', 'Psychic']",2.0,6.9
23,024,Arbok,['Poison'],Cobra Pokémon,"['Intimidate', 'Shed Skin', 'Unnerve']",448,"['Ground', 'Psychic']",3.5,65.0
24,025,Pikachu,['Electric'],Mouse Pokémon,"['Static', 'Lightning Rod']",320,['Ground'],0.4,6.0
25,026,Raichu,['Electric'],Mouse Pokémon,"['Static', 'Lightning Rod']",485,['Ground'],0.8,30.0
26,027,Sandshrew,['Ground'],Mouse Pokémon,"['Sand Veil', 'Sand Rush']",300,"['Water', 'Grass', 'Ice']",0.6,12.0
27,028,Sandslash,['Ground'],Mouse Pokémon,"['Sand Veil', 'Sand Rush']",450,"['Water', 'Grass', 'Ice']",1.0,29.5
28,029,nidoran-f,['Poison'],Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",275,"['Ground', 'Psychic']",0.4,7.0
29,030,Nidorina,['Poison'],Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",365,"['Ground', 'Psychic']",0.8,20.0
30,031,Nidoqueen,"['Poison', 'Ground']",Drill Pokémon,"['Poison Point', 'Rivalry', 'Sheer Force']",505,"['Water', 'Ice', 'Ground', 'Psychic']",1.3,60.0
31,032,nidoran-m,['Poison'],Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",273,"['Ground', 'Psychic']",0.5,9.0
32,033,Nidorino,['Poison'],Poison Pin Pokémon,"['Poison Point', 'Rivalry', 'Hustle']",365,"['Ground', 'Psychic']",0.9,19.5
33,034,Nidoking,"['Poison', 'Ground']",Drill Pokémon,"['Poison Point', 'Rivalry', 'Sheer Force']",505,"['Water', 'Ice', 'Ground', 'Psychic']",1.4,62.0
34,035,Clefairy,['Fairy'],Fairy Pokémon,"['Cute Charm', 'Magic Guard', 'Friend Guard']",323,"['Poison', 'Steel']",0.6,7.5
35,036,Clefable,['Fairy'],Fairy Pokémon,"['Cute Charm', 'Magic Guard', 'Unaware']",483,"['Poison', 'Steel']",1.3,40.0
36,037,Vulpix,['Fire'],Fox Pokémon,"['Flash Fire', 'Drought']",299,"['Water', 'Ground', 'Rock']",0.6,9.9
37,038,Ninetales,['Fire'],Fox Pokémon,"['Flash Fire', 'Drought']",505,"['Water', 'Ground', 'Rock']",1.1,19.9
